Month Year,LGA Region,Approved Sites,Operational Sites,Approved EGMs,Operational EGMs,Metered Win
Jul-04,BALONNE,7,6,74,74,139309.64
Jul-04,BANANA,11,11,183,183,296541.83
Jul-04,BARCALDINE,3,3,28,28,
Jul-04,BLACKALL TAMBO,3,3,26,26,
Jul-04,BRISBANE,242,230,8801,8370,32591122.98
Jul-04,BUNDABERG,43,42,1014,968,3468944.68
Jul-04,BURDEKIN,8,8,185,169,440256.83
Jul-04,CAIRNS,44,44,1536,1497,4698889.17
Jul-04,CARPENTARIA,2,2,36,36,
Jul-04,CASSOWARY COAST,17,16,344,324,901792.72
Jul-04,CENTRAL HIGHLANDS,20,20,405,386,1141868.5
Jul-04,CHARTERS TOWERS,10,10,178,178,328243.44
Jul-04,CLONCURRY,6,6,77,77,176176.4
Jul-04,COOK,3,2,25,15,
Jul-04,DOUGLAS,11,11,143,133,482907.79
Jul-04,FLINDERS,3,3,39,39,
Jul-04,FRASER COAST,40,40,1147,1124,3927990.42
Jul-04,GLADSTONE,23,23,558,549,1998615.23
Jul-04,GOLD COAST,131,129,5180,5003,21997380.22
Jul-04,GOONDIWINDI,11,11,183,175,384871.02
Jul-04,GYMPIE,23,23,360,348,1033524.67
Jul-04,HINCHINBROOK,8,7,88,82,250467.97
Jul-04,IPSWICH,41,38,1298,1200,5272361.5
Jul-04,ISAAC,17,17,234,231,658395.81
Jul-04,LIVINGSTONE,13,13,273,260,759295.38
Jul-04,LOCKYER VALLEY,19,19,280,265,767601.46
Jul-04,LOGAN,41,39,1772,1723,10080496.86
Jul-04,LONGREACH,6,6,79,79,123490.23
Jul-04,MACKAY,47,46,1294,1232,3952990.09
Jul-04,MARANOA,8,8,127,127,232043.13
Jul-04,MAREEBA,7,7,177,174,483970.38
Jul-04,MCKINLAY,2,2,21,21,
Jul-04,MORETON BAY,63,63,2610,2564,11937794.39
Jul-04,MOUNT ISA,9,9,506,506,1467412.21
Jul-04,MURWEH,8,8,71,71,154319.35
Jul-04,NOOSA,20,19,559,531,2122100.6
Jul-04,NORTH BURNETT,11,11,103,103,291640.77
Jul-04,PAROO,2,2,25,25,
Jul-04,QUILPIE,1,1,5,5,
Jul-04,REDLAND,28,28,1126,1110,4587508.56
Jul-04,RICHMOND,2,1,16,4,
Jul-04,ROCKHAMPTON,43,42,986,941,3022143.51
Jul-04,SCENIC RIM,21,21,238,236,564725.04
Jul-04,SOMERSET,13,13,135,130,454375.71
Jul-04,SOUTH BURNETT,21,21,334,326,932353.54
Jul-04,SOUTHERN DOWNS,23,23,410,407,881368.85
Jul-04,SUNSHINE COAST,75,73,2572,2478,9415415.29
Jul-04,TABLELANDS,7,6,169,121,338596.39
Jul-04,TOOWOOMBA,59,56,1381,1310,4278594.5
Jul-04,TORRES,4,4,78,78,
Jul-04,TOWNSVILLE,52,48,1406,1310,5192631.89
Jul-04,WEIPA,3,3,51,43,
Jul-04,WESTERN DOWNS,25,25,362,336,680619.14
Jul-04,WHITSUNDAY,28,27,498,495,1661193.08
Jul-04,WINTON,4,4,39,39,
Aug-04,BALONNE,6,6,74,74,119634.66
Aug-04,BANANA,11,11,179,179,306836.28
Aug-04,BARCALDINE,3,3,28,28,
Aug-04,BLACKALL TAMBO,3,3,26,26,
Aug-04,BRISBANE,240,232,8800,8418,31866211.07
Aug-04,BUNDABERG,43,42,1014,968,3376932.21
Aug-04,BURDEKIN,8,8,185,169,425572.59
Aug-04,CAIRNS,44,44,1536,1497,4664594.92
Aug-04,CARPENTARIA,2,2,36,36,
Aug-04,CASSOWARY COAST,17,16,344,324,895399.72
Aug-04,CENTRAL HIGHLANDS,20,20,405,386,1073860.23
Aug-04,CHARTERS TOWERS,10,10,178,178,348964.53
Aug-04,CLONCURRY,6,6,77,77,182668.5
Aug-04,COOK,3,2,25,15,
Aug-04,DOUGLAS,11,11,143,133,498509.11
Aug-04,FLINDERS,3,2,28,28,
Aug-04,FRASER COAST,40,40,1147,1145,3810898.59
Aug-04,GLADSTONE,23,23,558,549,1987593.89
Aug-04,GOLD COAST,132,128,5206,4978,21887793.51
Aug-04,GOONDIWINDI,11,11,183,175,398015.24
Aug-04,GYMPIE,23,23,360,348,990809.3
Aug-04,HINCHINBROOK,8,7,88,82,242550.57
Aug-04,IPSWICH,41,38,1284,1218,5091570.84
Aug-04,ISAAC,17,17,234,231,696004.72
Aug-04,LIVINGSTONE,13,13,268,260,791477.82
Aug-04,LOCKYER VALLEY,19,18,271,257,748162.5
Aug-04,LOGAN,41,39,1777,1717,10108920.81
Aug-04,LONGREACH,6,6,79,79,121314.8
Aug-04,MACKAY,47,45,1294,1227,3913828.54
Aug-04,MARANOA,8,8,127,127,262993.58
Aug-04,MAREEBA,7,7,177,174,492523.47
Aug-04,MCKINLAY,2,2,21,21,
Aug-04,MORETON BAY,63,63,2610,2575,11534975.96
Aug-04,MOUNT ISA,9,9,506,506,1589483.77
Aug-04,MURWEH,8,8,76,71,155326.29
Aug-04,NOOSA,20,19,559,531,2065999.51
Aug-04,NORTH BURNETT,11,11,103,103,281413.57
Aug-04,PAROO,2,2,25,25,
Aug-04,QUILPIE,1,1,5,5,
Aug-04,REDLAND,28,28,1141,1110,4590891.32
Aug-04,RICHMOND,2,1,16,4,
Aug-04,ROCKHAMPTON,43,43,1001,976,2830965.9
Aug-04,SCENIC RIM,21,21,238,238,552041.49
Aug-04,SOMERSET,13,13,135,130,402231.33
Aug-04,SOUTH BURNETT,21,21,334,326,960407.46
Aug-04,SOUTHERN DOWNS,23,23,410,407,874290.06
Aug-04,SUNSHINE COAST,75,73,2642,2437,9235565.75
Aug-04,TABLELANDS,7,6,169,121,287693.67
Aug-04,TOOWOOMBA,58,57,1376,1332,4217788.21
Aug-04,TORRES,4,4,78,78,
Aug-04,TOWNSVILLE,51,49,1406,1320,5170438.76
Aug-04,WEIPA,3,3,51,43,
Aug-04,WESTERN DOWNS,25,25,362,336,638489.62
Aug-04,WHITSUNDAY,28,27,498,495,1675408.5
Aug-04,WINTON,4,4,39,39,
Sep-04,BALONNE,6,6,79,74,125416.23
Sep-04,BANANA,11,11,179,179,335408.91
Sep-04,BARCALDINE,3,3,28,28,
Sep-04,BLACKALL TAMBO,3,3,26,26,
Sep-04,BRISBANE,241,231,8807,8347,31710200.09
Sep-04,BUNDABERG,43,42,1014,968,3403002.06
Sep-04,BURDEKIN,8,8,185,185,471162.17
Sep-04,CAIRNS,44,44,1536,1501,4856190.48
Sep-04,CARPENTARIA,2,2,36,36,
Sep-04,CASSOWARY COAST,17,16,344,326,883396.33
Sep-04,CENTRAL HIGHLANDS,20,20,405,385,1075252.52
Sep-04,CHARTERS TOWERS,10,10,178,178,327976.34
Sep-04,CLONCURRY,6,6,80,77,166842.06
Sep-04,COOK,3,2,25,15,
Sep-04,DOUGLAS,11,11,143,143,491994.09
Sep-04,FLINDERS,2,2,28,28,
Sep-04,FRASER COAST,40,40,1147,1146,3868383.13
Sep-04,GLADSTONE,23,23,563,549,1849393.99
Sep-04,GOLD COAST,131,128,5221,5002,21441725.17
Sep-04,GOONDIWINDI,11,11,183,178,400045.58
Sep-04,GYMPIE,23,23,360,348,975324.08
Sep-04,HINCHINBROOK,8,7,88,82,249781.71
Sep-04,IPSWICH,41,38,1284,1223,5116253.67
Sep-04,ISAAC,17,17,234,231,684467.02
Sep-04,LIVINGSTONE,13,13,268,260,748620.66
Sep-04,LOCKYER VALLEY,18,18,271,266,750390.78
Sep-04,LOGAN,41,39,1777,1722,10026050.12
Sep-04,LONGREACH,6,6,79,79,103591.22
Sep-04,MACKAY,47,45,1307,1235,4007601
Sep-04,MARANOA,8,8,127,127,240739.41
Sep-04,MAREEBA,7,7,186,171,480343.35
Sep-04,MCKINLAY,2,2,21,21,
Sep-04,MORETON BAY,63,63,2680,2578,11512436.7
Sep-04,MOUNT ISA,9,9,506,506,1584183.01
